"X5010_1_S1"	"X5010_2_S2"	"X5010_3_S3"	"X5010_4_S4"	"X5010_5_S5"	"X5010_6_S6"	"X5010_7_S7"	"X5010_8_S8"	"X5010_9_S9"	"X5010_10_S10"	"X5010_11_S11"	"X5010_12_S12"	"X5010_13_S13"	"X5010_14_S14"	"X5010_15_S15"	"X5010_16_S16"	"X5010_17_S17"	"X5010_18_S18"	"X5010_19_S19"	"X5010_20_S20"	"X5010_21_S21"	"X5010_22_S22"	"X5010_23_S23"	"X5010_24_S24"	"X5010_25_S25"	"X5010_26_S26"
"ENA|HBXI01042133|HBXI01042133.1"	0	0	0	0	9.11084559719989	0	0	0	0	0	0	0	0	0	0	0	9.96006023732541	0	0	9.11677537181157	0	0	0	8.49549200080565	0	0
"ENA|HBXI01001218|HBXI01001218.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.15263331454265	0	0	6.22801522480585	0	0	0	5.41395745929419	0	6.84858460624558
"ENA|HBXI01036864|HBXI01036864.1"	0	0	0	7.43448028095749	0	0	0	0	0	0	0	0	0	10.1068173369315	6.63864575753904	0	0	0	0	10.0756445054645	7.07696740779809	0	0	0	0	0
"ENA|HBXI01077172|HBXI01077172.1"	0	0	0	0	0	0	10.4558047105281	0	8.07142627555137	0	0	0	0	0	0	0	0	8.25597814596729	0	0	0	0	0	0	0	0
"ENA|HBXI01019377|HBXI01019377.1"	9.07268477024453	8.81234570267444	8.61107194829133	9.27644114879261	9.3754611668918	8.45972127887771	8.77709180813074	8.83560208217766	8.99711011474681	8.76493838177436	9.27996185325948	8.99007916022172	10.0409873659394	9.48878588708601	9.69848946972703	10.1477399328711	9.40156732982021	9.49514027768706	9.84391469474193	9.38971918930659	10.0615689992989	9.69232752506264	9.58033136394228	10.2019710206365	9.73802722046034	9.67124304286005
"ENA|HBXI01133481|HBXI01133481.1"	9.04631593620965	9.05309716779631	8.79861082498328	8.662341924297	8.246081717077	9.13755958885243	9.6441374702323	9.12127810709958	8.94729997304352	9.19742703470068	8.42375326646559	8.69117346995259	7.61145001299586	8.3913253334789	7.40724140980413	7.44598470727004	8.28799758589693	7.98565220053012	7.84486123542101	7.6360185899268	7.65836366924841	7.98956255442782	8.56686615610452	7.77099979382475	8.19645791509648	7.70057071391046
"ENA|HBXI01125909|HBXI01125909.1"	5.99656235421432	6.09243676757605	6.25529428691956	5.83021055590815	6.9394638126819	7.38914837806655	4.93784642047597	6.88303268960129	6.12049189093126	5.64686736333273	6.33289267530535	5.73448600850264	7.89066762995078	8.27919894234537	8.68601726683718	8.04017325846469	7.40100742571393	7.59614307671514	7.58157776801408	7.45942985936165	7.41575298983538	8.1290135914415	7.80783744201198	6.42827485971653	8.25447801592233	9.19046839565948
"ENA|HBXI01131037|HBXI01131037.1"	6.50679869581262	6.24638581671523	6.25529428691956	6.41882991725216	6.2103130521649	6.57179277700797	6.24474681676862	6.47206375720114	6.00128974125733	6.77485339317709	5.76370864589865	5.90139707902419	4.5127589151536	5.36892373632935	5.75457105580434	4.97690042625366	5.86027935529882	5.20125327001595	5.05994184277991	5.64265170878052	5.54807242748686	5.52039453916378	5.77454405571845	4.79863510237029	5.10993587988875	5.14404560522652
"ENA|HBXI01032176|HBXI01032176.1"	7.9097211659728	8.2774282456637	7.28354111266221	6.70306408867444	7.56975794995735	7.46381321302648	6.91903721067353	7.36826325709715	6.50551889690632	6.32554391900732	6.97084715578054	8.73289391753617	9.37795473741407	9.69221588381838	8.54199603251243	8.90473796539644	8.43803192324766	8.61394158804838	9.87738791377644	9.94909538819047	8.30856734080192	8.56355343977818	10.3385521065167	9.11205937860213	9.66960943019916	11.7673407550354
"ENA|HBXI01051469|HBXI01051469.1"	4.50281524155972	1.95661182943888	1.589943285416	0	1.73068803475623	1.82537471202315	1.93503451704218	0.958883817200135	2.05410593748611	0	3.46570087308158	4.60420233079439	2.93422043172998	4.08556168928992	5.93840291620536	5.53300188087556	1.39572833179091	1.55316900539024	5.05994184277991	4.57994273060482	1.69312788976834	8.22886207979028	8.20978132244998	2.49213055768759	8.29058106994348	11.1150942484056
"ENA|HBXI01117855|HBXI01117855.1"	4.19670867892087	4.52928681922984	3.32864809966292	8.75618546189887	4.52539086843385	5.46753504288811	3.24361093802572	3.92192008128114	4.19698002980561	3.85440748549673	4.50090661043651	3.99333139431333	8.3085097558388	6.49214364077326	4.47217987862061	5.01626929663617	5.1060081003947	5.56774775508059	6.38700991134005	5.94055656785389	6.42417744502714	6.04352882552006	6.46273976661704	5.53404923364366	6.41387061715339	7.83147114966454
"ENA|HBXI01054107|HBXI01054107.1"	1.05906500373938	6.22801691128317	11.5364046388913	11.9646012128985	2.76493027986221	3.48232708417203	13.1141569008482	4.31296342682013	2.7043205657855	5.79827144439266	1.73063875407981	2.24231389692989	1.5351189332605	4.01941493317496	3.43061030237975	3.51781768163751	10.3364185401598	1.96418259713015	1.13647237222164	3.37503783255607	6.36676472856651	1.5413169739389	3.0175369086993	3.80250647587868	2.40577488132909	10.3649064562212
